Macs,IPs,ACKs
44:2a:60:db:a9:63,10.144.219.52,2
c8:f6:50:e2:36:ec,10.103.221.87,26
78:3a:84:af:a0:e5,10.144.220.116,29
04:0c:ce:1b:49:e9,10.145.222.3,2
c8:f6:50:a2:7e:a1,10.126.220.160,14
c8:f6:50:e6:87:ad,10.173.216.10,27
78:3a:84:cb:6d:e2,10.111.221.114,28
00:23:32:9e:ee:86,10.11.107.143,2
c8:f6:50:a1:a5:69,10.101.222.46,28
78:3a:84:cb:a2:4a,10.104.221.10,30
6c:70:9f:7b:2a:0d,10.122.222.87,27
00:23:12:25:35:83,10.172.217.93,2
c8:f6:50:a1:a6:02,10.173.216.205,29
78:fd:94:41:c0:6b,10.121.221.117,31
c8:f6:50:e1:26:2b,10.119.222.33,27
c8:f6:50:cc:5c:0b,10.172.216.146,26
10:9a:dd:51:bb:ba,10.191.103.171,3
c8:f6:50:cd:7e:ed,10.145.220.37,28
c8:f6:50:62:a1:ad,10.110.222.2,32
78:3a:84:cd:6f:7f,10.111.221.137,28
78:3a:84:b8:9d:0b,10.131.222.156,44
c8:f6:50:d6:e2:5e,10.173.217.39,27
c8:bc:c8:bc:32:22,10.191.211.29,3
c8:bc:c8:b8:90:10,10.147.222.26,2
4c:b1:99:34:ee:ff,10.191.223.62,25
c8:f6:50:a1:e8:2f,10.173.216.155,16
04:0c:ce:1b:47:3b,10.126.221.245,4
78:3a:84:b6:2c:23,10.122.221.125,31
c8:bc:c8:bf:83:c8,10.106.220.255,2
78:3a:84:8f:c1:be,10.122.221.135,31
c8:f6:50:a1:e7:47,10.126.220.155,17
b8:e8:56:7e:df:13,10.191.214.13,26
78:3a:84:b0:1c:94,10.104.221.2,27
c8:f6:50:df:c9:c8,10.101.222.55,29
c8:f6:50:df:9a:d6,10.173.217.48,27
c8:f6:50:e7:06:5f,10.115.220.212,16
c8:f6:50:a1:82:7e,10.105.199.235,27
78:fd:94:3e:a0:49,10.173.215.36,2
78:3a:84:af:2e:cd,10.142.221.80,28
00:11:0a:c5:5c:3e,10.191.79.46,5
78:3a:84:c4:22:41,10.106.221.151,24
00:23:32:9e:ef:f4,10.11.107.135,2
c8:f6:50:e2:4e:02,10.126.220.159,16
04:0c:ce:1b:4b:af,10.115.222.221,2
78:3a:84:ab:fd:9e,10.104.221.4,27
c8:f6:50:e7:13:c3,10.172.218.152,16
78:3a:84:94:28:4e,10.144.218.224,15
00:1f:29:25:d4:0d,10.191.79.1,5
78:3a:84:c5:62:48,10.104.220.247,25
c8:bc:c8:c8:07:70,10.120.220.149,3
04:0c:ce:1b:43:6b,10.104.223.40,2
c8:f6:50:d6:b5:21,10.115.220.109,15
6c:70:9f:79:b7:2a,10.147.219.204,28
04:0c:ce:1b:39:f1,10.173.220.124,3
00:23:12:25:37:01,10.106.223.168,2
78:3a:84:c0:f0:5a,10.110.221.194,25
6c:70:9f:7b:33:eb,10.126.220.189,27
6c:70:9f:7b:26:6e,10.126.220.156,27
6c:70:9f:7b:2d:7c,10.126.220.128,28
9c:04:eb:90:d4:10,10.191.223.194,5
00:19:d1:2f:76:12,10.111.127.146,3
c8:f6:50:d5:a7:d2,10.103.221.84,25
00:23:32:9e:9c:f6,10.11.107.147,2
78:fd:94:42:ad:cb,10.106.221.125,30
78:3a:84:b8:91:eb,10.104.220.250,26
c8:f6:50:d7:3a:30,10.115.220.213,16
c8:f6:50:cc:7c:05,10.171.205.180,25
6c:70:9f:78:9d:15,10.126.220.183,27
44:2a:60:db:a9:7b,10.119.223.63,2
88:63:df:a7:d9:29,10.192.197.181,3
6c:70:9f:7b:5c:e3,10.126.220.172,26
c8:f6:50:cd:d8:23,10.171.205.184,30
c8:f6:50:e8:11:9e,10.173.215.253,27
c8:f6:50:e7:e4:f3,10.119.221.237,27
78:3a:84:c4:e4:10,10.192.197.190,28
78:fd:94:2f:d6:90,10.142.220.252,17
6c:70:9f:79:b1:99,10.172.219.32,27
04:0c:ce:1b:3c:68,10.143.222.53,3
00:23:32:9e:ec:f5,10.11.107.225,2
c8:f6:50:a1:8f:d7,10.101.222.58,29
c8:f6:50:cc:35:65,10.144.219.253,24
c8:f6:50:e8:13:6c,10.173.215.251,27
c8:f6:50:cc:35:f4,10.144.220.32,29
c8:f6:50:a1:d0:21,10.141.217.7,24
c8:f6:50:d6:da:48,10.103.221.82,24
c8:f6:50:a7:1a:94,10.101.221.138,30
c8:f6:50:a6:89:5a,10.123.220.211,27
c8:f6:50:a1:a2:bf,10.119.222.34,28
78:3a:84:8a:27:1f,10.122.221.128,30
b0:65:bd:6a:11:5f,10.141.222.108,26
04:0c:ce:1b:45:5c,10.142.178.230,2
04:0c:ce:1b:42:3f,10.173.220.77,8
c8:f6:50:cc:e5:19,10.144.219.131,28
78:3a:84:c0:03:3c,10.145.220.250,18
04:0c:ce:1b:43:a8,10.145.221.254,2
6c:70:9f:75:5a:9d,10.126.220.191,27
04:0c:ce:1b:46:94,10.142.219.230,2
78:3a:84:af:92:4e,10.122.221.123,30
04:0c:ce:1b:3e:2c,10.103.223.62,2
c8:f6:50:a3:a6:4a,10.106.222.49,26
6c:70:9f:79:69:29,10.126.220.149,26
c8:f6:50:a1:9a:97,10.173.216.188,25
c8:f6:50:a2:81:28,10.119.222.35,26
78:3a:84:cd:40:d3,10.111.221.136,28
c8:f6:50:a1:dc:53,10.125.221.163,30
c8:f6:50:a4:1b:8f,10.119.222.40,26
78:fd:94:3d:0a:ce,10.107.220.230,14
10:9a:dd:53:11:fc,10.11.126.170,2
c8:bc:c8:c7:f8:30,10.106.220.247,2
78:3a:84:c9:44:ac,10.120.220.10,28
80:00:0b:18:26:bc,10.145.219.161,1
04:0c:ce:1b:42:55,10.126.222.4,6
78:3a:84:89:6e:00,10.121.222.5,27
c8:f6:50:cc:2b:0b,10.147.219.7,29
78:3a:84:b5:f9:02,10.122.221.127,27
44:2a:60:db:a2:06,10.120.220.126,5
00:1f:5b:c4:3f:03,10.147.218.186,2
04:0c:ce:1b:3f:87,10.120.222.169,4
d4:85:64:b3:e1:93,10.192.127.230,19
c8:f6:50:cc:65:1c,10.144.219.159,27
c8:f6:50:a1:90:85,10.111.221.127,29
c8:f6:50:e8:5d:2f,10.142.221.41,24
c8:f6:50:e3:2e:86,10.101.222.45,30
c8:f6:50:67:a9:5a,10.110.222.9,28
c8:f6:50:a3:02:3b,10.126.220.8,17
c8:f6:50:e7:df:18,10.173.217.32,29
